Entry,Gene Names
G2Q3G4,MYCTH_38313
G2Q3H2,MYCTH_2298870
G2Q3I1,MYCTH_2298881
G2Q3J4,MYCTH_2295040
G2Q3J8,MYCTH_76163
G2Q3K4,MYCTH_2295069
G2Q3L3,MYCTH_42071
G2Q3L5,MYCTH_2295088
G2Q3L7,MYCTH_2295090
G2Q3M1,MYCTH_2295097
G2Q3M2,MYCTH_2295098
G2Q3M6,MYCTH_76199
G2Q3M7,MYCTH_2295109
G2Q3N8,MYCTH_2296919
G2Q3P1,MYCTH_2088965
G2Q3P3,MYCTH_2296934
G2Q3P4,MYCTH_2296935
G2Q3P9,MYCTH_106293
G2Q3Q0,MYCTH_2296944
G2Q3Q4,MYCTH_2296955
G2Q3Q9,MYCTH_2296960
G2Q3R4,MYCTH_77465
G2Q3S0,MYCTH_2296986
G2Q3S5,MYCTH_2296998
G2Q3S9,MYCTH_2297004
G2Q3T0,MYCTH_2297007
G2Q3T6,MYCTH_2297020
G2Q3T9,MYCTH_2298883
G2Q3U2,MYCTH_2086451
G2Q3V2,MYCTH_2298906
G2Q3V4,MYCTH_40367
G2Q3V8,MYCTH_2298918
G2Q3W5,MYCTH_2298926
G2Q3W7,MYCTH_2298927
G2Q3X4,MYCTH_73877
G2Q3Y2,MYCTH_2107938
G2Q3Z0,MYCTH_2298973
G2Q3Z1,MYCTH_73867
G2Q3Z2,MYCTH_2051835
G2Q3Z3,MYCTH_2295132
G2Q3Z8,MYCTH_2136659
G2Q400,MYCTH_2313457
G2Q410,MYCTH_2295173
G2Q416,MYCTH_2295183
G2Q417,MYCTH_2106437
G2Q425,MYCTH_2295204
G2Q427,MYCTH_2295212
G2Q429,MYCTH_99040
G2Q430,MYCTH_2295230
G2Q431,MYCTH_2087807
G2Q435,MYCTH_2295245
G2Q449,MYCTH_2089049
G2Q452,MYCTH_2297042
G2Q454,MYCTH_2297044
G2Q455,MYCTH_2297048
G2Q456,MYCTH_2297052
G2Q459,MYCTH_2297055
G2Q462,MYCTH_2297059
G2Q463,MYCTH_2137175
G2Q465,MYCTH_2297063
G2Q469,MYCTH_2297070
G2Q470,MYCTH_2297073
G2Q477,MYCTH_2297084
G2Q483,MYCTH_2313833
G2Q484,MYCTH_2076503
G2Q488,MYCTH_63965
G2Q495,MYCTH_2297121
G2Q4A1,MYCTH_86049
G2Q4A3,MYCTH_2298982
G2Q4A5,MYCTH_2298987
G2Q4A8,MYCTH_104936
G2Q4A9,MYCTH_2298994
G2Q4B0,MYCTH_2298996
G2Q4B2,MYCTH_40012
G2Q4B4,MYCTH_2299002
G2Q4B5,MYCTH_2086520
G2Q4B6,MYCTH_2299007
G2Q4B7,MYCTH_2299008
G2Q4D0,MYCTH_2299032
G2Q4D1,MYCTH_2299034
G2Q4D4,MYCTH_2299039
G2Q4E3,MYCTH_2299056
G2Q4E7,MYCTH_2299067
G2Q4F1,MYCTH_2142488
G2Q4F5,MYCTH_2295275
G2Q4F7,MYCTH_2295283
G2Q4F9,MYCTH_2295287
G2Q4G4,MYCTH_105869
