,kcat,MW,kcat_MW
R1451_num1,87.95555555555555,54104.27800000002,5852.402281387063
R1452,810.8440786516854,43569.52140000009,66997.26297994316
R1453,1039.8546392857143,32850.449900000014,113955.1121163966
R1454_num1,284.0,35030.51230000001,29185.984813587773
R1455_num1,424.1152962962963,73876.4409000003,20667.144329995197
R1456,7.26,52952.723400000104,493.5723475933619
R1457,7.26,52952.723400000104,493.5723475933619
R1458,0.0148,46048.880500000036,1.1570313853775438
R1459_num1,140.42897222222223,56406.60280000007,8962.502170047357
R1460_num1,250.39548142857143,76784.94260000045,11739.589854728263
R1461,175.1076923076923,200738.28740000137,3140.346071855986
R1462,424.1152962962963,73876.4409000003,20667.144329995197
R1463,424.1152962962963,64379.08280000014,23716.01147860192
R1464,870.6944445305555,10615.762199999996,295268.4829648879
R1465_num1,123.58679238095237,102745.7960000007,4330.225370694734
R1466,169.30833333333334,66983.59740000017,9099.391846040184
R1467,102.8635,62724.99760000011,5903.684562277278
R1468,169.30833333333334,62724.99760000011,9717.17853043009
R1469,140.03,61114.29880000012,8248.609734519265
R1470,1.185,51929.64620000005,82.14960648046926
R1471,0.11026666,39182.072800000074,10.131163249740052
R1472_num1,0.069147,36070.877300000044,6.901112992890797
R1473_num1,0.26117617442990654,63956.4485000001,14.701163838821696
R1474,0.26117617442990654,62411.62190000012,15.065050375620212
R1475_num1,0.26117617442990654,63956.4485000001,14.701163838821696
R1476_num1,0.069147,35924.12760000003,6.929303970070516
R1477_num1,0.26117617442990654,62411.62190000012,15.065050375620212
R1478,0.26117617442990654,60231.46220000009,15.610350365156204
R1479_num1,0.26117617442990654,62411.62190000012,15.065050375620212
R1480,0.069147,38718.34400000004,6.4292315807721465
R1484_num1,0.26117617442990654,72488.8782000003,12.97073773653266
R1485,0.26117617442990654,60721.0779000001,15.484478544602087
R1486_num1,0.26117617442990654,72488.8782000003,12.97073773653266
R1487,6.166667,31616.712399999975,702.1603296109946
R1488,0.21666666666666667,31616.712399999975,24.670496733872955
R1490,0.04652222222222222,20629.300799999994,8.118549514775607
R1491,0.5868883333333333,22769.54749999999,92.79051329412677
