,fluxes,equ,ec-code,kcat_MW,E
R1711_num2,0.0,5_PHOSPHORIBOSYL_5_AMINOIMIDAZOLE_m + amet_m --> AMINO_HYDROXYMETHYL_METHYL_PYR_P_m + co_m + dad_5_m + for_m + 3.0 h_m + met__L_m,4.1.99.17,306.2127862,0.0
R1712_num2,0.0,5_PHOSPHORIBOSYL_5_AMINOIMIDAZOLE_c + amet_c --> AMINO_HYDROXYMETHYL_METHYL_PYR_P_c + co_c + dad_2_c + for_c + 3.0 h_c + met__L_c,4.1.99.17,489.1622868,0.0
R1712_num3,0.0,5_PHOSPHORIBOSYL_5_AMINOIMIDAZOLE_c + amet_c --> AMINO_HYDROXYMETHYL_METHYL_PYR_P_c + co_c + dad_2_c + for_c + 3.0 h_c + met__L_c,4.1.99.17,605.9610025000002,0.0
R1719_num2,0.0,man6p_c --> f6p_c,5.3.1.8,2294.961698,0.0
R1720_num2,0.00028006265286836953,MAGLYP_c + h2o_c --> MAGLY_c + pi_c,3.1.3.2,4030.129675,6.949221872578319e-08
R1720_num3,0.0,MAGLYP_c + h2o_c --> MAGLY_c + pi_c,3.1.3.2,1170.5805070000001,0.0
R1720_num4,0.0,MAGLYP_c + h2o_c --> MAGLY_c + pi_c,3.1.3.2,729.0597193,0.0
R1720_num5,0.0,MAGLYP_c + h2o_c --> MAGLY_c + pi_c,3.1.3.2,169.74704330000003,0.0
R1720_num6,0.0,MAGLYP_c + h2o_c --> MAGLY_c + pi_c,3.1.3.2,342.3945646,0.0
R1720_num7,0.0,MAGLYP_c + h2o_c --> MAGLY_c + pi_c,3.1.3.2,525.9124023,0.0
R1720_num8,0.0,MAGLYP_c + h2o_c --> MAGLY_c + pi_c,3.1.3.2,1660.099503,0.0
R1720_num9,0.0,MAGLYP_c + h2o_c --> MAGLY_c + pi_c,3.1.3.2,3991.099343,0.0
R1731_num2,0.0,BAMN_c + h2o_c + o2_c --> bzal_c + h2o2_c + nh4_c,1.4.3.21,788.636741,0.0
R1732_num2,0.0,BUTN_c + h2o_c + o2_c --> btal_c + h2o2_c + nh4_c,1.4.3.21,788.636741,0.0
R1733_num2,0.0,PENN_c + h2o_c + o2_c --> h2o2_c + nh4_c + ptal_c,1.4.3.21,788.636741,0.0
R1735_num2,0.0,o2_c + trp__L_c --> Lfmkynr_c,"1.13.11.11,1.13.11.52",226.8180168,0.0
R1735_num3,0.0,o2_c + trp__L_c --> Lfmkynr_c,"1.13.11.11,1.13.11.52",762.2792654,0.0
R1740_num2,0.0,2.0 h2o_c + ind3acnl_c --> ind3ac_c + nh4_c,3.5.5.1,1951.7499890000001,0.0
R1740_num3,0.0,2.0 h2o_c + ind3acnl_c --> ind3ac_c + nh4_c,3.5.5.1,3153.99913,0.0
