Unnamed: 0,kcat,MW,kcat_MW
R386_reverse_num9,72.02591,77530.0808,3344.421589
R386_reverse_num10,44.73351,95059.1055,1694.1105760000007
R395_reverse_num2,10.423026,49252.4404,761.8484139
R395_reverse_num3,11.72814,63640.1649,663.4380044
R396_reverse_num2,11.717936,59219.8208,712.3386905
R404_reverse_num2,197.94707,91901.5822,7754.049875
R411_reverse_num2,14.695988,67354.641,785.4775262999998
R415_reverse_num2,15.5975275,67354.641,833.6633997
R415_reverse_num3,10.716813,59219.8208,651.4799653
R416_reverse_num2,543.2498779,33951.5791,57602.60973
R418_reverse_num2,3.894924,240918.1861,58.2011953
R419_reverse_num2,30.183144,46132.3463,2355.38244
R421_reverse_num2,6.1772230000000015,69251.113,321.1212331000001
R422_reverse_num2,203.92833,91901.5822,7988.349824
R435_reverse_num2,16.554373000000002,67354.641,884.805292
R435_reverse_num3,14.009479999999998,59219.8208,851.6426987
R466_reverse_num2,6.706207752,44794.8176,538.9540397999998
R466_reverse_num3,15.67133617,234419.4924,240.666037
R466_reverse_num4,6.460739612999999,204466.8445,113.7527342
R466_reverse_num5,44.17224503,39673.0547,4008.26413
R468_reverse_num2,28.37654,28260.1015,3614.832877
R468_reverse_num3,84.38105999999998,253118.0801,1200.1189949999996
R468_reverse_num4,25.737886,38417.2909,2411.8408
R468_reverse_num5,48.91234,245670.9929,716.7489410000002
R468_reverse_num6,13.327994,29478.0859,1627.676185
R468_reverse_num7,7.29703,47107.5013,557.6459646000002
R468_reverse_num8,2.6998618,38718.344,251.0309449
R468_reverse_num9,15.671335999999998,234419.4924,240.66603430000004
R468_reverse_num10,6.460739599999999,204466.8445,113.7527339
R468_reverse_num11,3.6368885,38062.637,343.9803343000001
R468_reverse_num12,4.8414864999999985,49369.845,353.0363808
R468_reverse_num13,11.392616,44123.0396,929.523849
R470_reverse_num2,6.7062078,44794.8176,538.9540436000002
R470_reverse_num3,15.671335999999998,234419.4924,240.66603430000004
R470_reverse_num4,6.460739599999999,204466.8445,113.7527339
R470_reverse_num5,44.172245,39673.0547,4008.264128
R473_reverse_num2,28.37654,28260.1015,3614.832877
R473_reverse_num3,84.38105999999998,253118.0801,1200.1189949999996
R473_reverse_num4,25.737886,38417.2909,2411.8408
R473_reverse_num5,48.91234,245670.9929,716.7489410000002
R473_reverse_num6,13.327994,29478.0859,1627.676185
R473_reverse_num7,7.29703,47107.5013,557.6459646000002
R473_reverse_num8,2.6998618,38718.344,251.0309449
R473_reverse_num9,15.671335999999998,234419.4924,240.66603430000004
R473_reverse_num10,6.460739599999999,204466.8445,113.7527339
R473_reverse_num11,3.6368885,38062.637,343.9803343000001
R473_reverse_num12,4.8414864999999985,49369.845,353.0363808
R473_reverse_num13,11.392616,44123.0396,929.523849
R474_reverse_num2,6.7062078,44794.8176,538.9540436000002
R474_reverse_num3,15.671335999999998,234419.4924,240.66603430000004
R474_reverse_num4,6.460739599999999,204466.8445,113.7527339
R474_reverse_num5,44.172245,39673.0547,4008.264128
R475_reverse_num2,6.7062078,44794.8176,538.9540436000002
R475_reverse_num3,15.671335999999998,234419.4924,240.66603430000004
R475_reverse_num4,6.460739599999999,204466.8445,113.7527339
R475_reverse_num5,44.172245,39673.0547,4008.264128
R478_reverse_num2,28.37654,28260.1015,3614.832877
R478_reverse_num3,84.38105999999998,253118.0801,1200.1189949999996
R478_reverse_num4,25.737886,38417.2909,2411.8408
R478_reverse_num5,48.91234,245670.9929,716.7489410000002
R478_reverse_num6,13.327994,29478.0859,1627.676185
R478_reverse_num7,7.29703,47107.5013,557.6459646000002
R478_reverse_num8,2.6998618,38718.344,251.0309449
R478_reverse_num9,15.671335999999998,234419.4924,240.66603430000004
R478_reverse_num10,6.460739599999999,204466.8445,113.7527339
R478_reverse_num11,3.6368885,38062.637,343.9803343000001
R478_reverse_num12,4.8414864999999985,49369.845,353.0363808
R478_reverse_num13,11.392616,44123.0396,929.523849
R479_reverse_num2,6.7062078,44794.8176,538.9540436000002
R479_reverse_num3,15.671335999999998,234419.4924,240.66603430000004
R479_reverse_num4,6.460739599999999,204466.8445,113.7527339
R479_reverse_num5,44.172245,39673.0547,4008.264128
R480_reverse_num2,6.7062078,44794.8176,538.9540436000002
R480_reverse_num3,15.671335999999998,234419.4924,240.66603430000004
R480_reverse_num4,6.460739599999999,204466.8445,113.7527339
R480_reverse_num5,44.172245,39673.0547,4008.264128
R483_reverse_num2,28.37654,28260.1015,3614.832877
R483_reverse_num3,84.38105999999998,253118.0801,1200.1189949999996
R483_reverse_num4,25.737886,38417.2909,2411.8408
R483_reverse_num5,48.91234,245670.9929,716.7489410000002
R483_reverse_num6,13.327994,29478.0859,1627.676185
R483_reverse_num7,7.29703,47107.5013,557.6459646000002
R483_reverse_num8,2.6998618,38718.344,251.0309449
R483_reverse_num9,15.671335999999998,234419.4924,240.66603430000004
R483_reverse_num10,6.460739599999999,204466.8445,113.7527339
R483_reverse_num11,3.6368885,38062.637,343.9803343000001
R483_reverse_num12,4.8414864999999985,49369.845,353.0363808
R483_reverse_num13,11.392616,44123.0396,929.523849
R484_reverse_num2,6.7062078,44794.8176,538.9540436000002
R484_reverse_num3,15.671335999999998,234419.4924,240.66603430000004
R484_reverse_num4,6.460739599999999,204466.8445,113.7527339
R484_reverse_num5,44.172245,39673.0547,4008.264128
R485_reverse_num2,6.7062078,44794.8176,538.9540436000002
R485_reverse_num3,15.671335999999998,234419.4924,240.66603430000004
R485_reverse_num4,6.460739599999999,204466.8445,113.7527339
R485_reverse_num5,44.172245,39673.0547,4008.264128
R488_reverse_num2,28.37654,28260.1015,3614.832877
R488_reverse_num3,84.38105999999998,253118.0801,1200.1189949999996
R488_reverse_num4,25.737886,38417.2909,2411.8408
R488_reverse_num5,48.91234,245670.9929,716.7489410000002
R488_reverse_num6,13.327994,29478.0859,1627.676185
R488_reverse_num7,7.29703,47107.5013,557.6459646000002
R488_reverse_num8,2.6998618,38718.344,251.0309449
R488_reverse_num9,15.671335999999998,234419.4924,240.66603430000004
R488_reverse_num10,6.460739599999999,204466.8445,113.7527339
R488_reverse_num11,3.6368885,38062.637,343.9803343000001
R488_reverse_num12,4.8414864999999985,49369.845,353.0363808
R488_reverse_num13,11.392616,44123.0396,929.523849
R489_reverse_num2,6.7062078,44794.8176,538.9540436000002
R489_reverse_num3,15.671335999999998,234419.4924,240.66603430000004
R489_reverse_num4,6.460739599999999,204466.8445,113.7527339
R489_reverse_num5,44.172245,39673.0547,4008.264128
